,DEPOSIT,RETRIEVAL,ID,ORDER_DEPOSIT,ORDER_RETRIEVAL
1,2021-01-01T20:48:55Z,2021-01-19T15:40:27Z,1,2020-12-30T23:14:43Z,2021-01-07T12:03:27Z
2,2021-01-01T23:24:50Z,2021-01-20T13:43:05Z,2,2020-12-30T17:15:00Z,2021-01-10T01:08:34Z
3,2021-01-01T07:11:33Z,2021-01-29T22:11:15Z,3,2020-12-30T00:07:50Z,2021-01-20T19:48:08Z
4,2021-01-01T06:19:08Z,2021-01-15T16:27:17Z,4,2020-12-28T17:56:15Z,2021-01-03T03:56:07Z
5,2021-01-02T09:15:34Z,2021-01-07T05:44:24Z,5,2020-12-30T01:11:39Z,2020-12-30T01:11:39Z
6,2021-01-02T06:05:33Z,2021-01-02T21:58:23Z,6,2021-01-01T05:17:23Z,2021-01-01T05:17:23Z
7,2021-01-02T19:00:42Z,2021-01-18T08:47:42Z,7,2020-12-31T20:08:30Z,2021-01-01T23:35:42Z
8,2021-01-02T07:51:38Z,2021-01-12T13:42:16Z,8,2020-12-29T22:55:15Z,2020-12-31T15:54:51Z
9,2021-01-02T00:42:07Z,2021-01-22T06:11:49Z,9,2020-12-30T17:21:33Z,2021-01-12T08:49:07Z
10,2021-01-02T10:33:58Z,2021-01-09T05:50:00Z,10,2020-12-30T18:55:58Z,2020-12-30T18:55:58Z
11,2021-01-02T18:26:46Z,2021-01-30T04:56:09Z,11,2021-01-01T00:09:43Z,2021-01-13T10:17:45Z
12,2021-01-03T07:57:21Z,2021-01-21T15:09:17Z,12,2021-01-02T14:39:26Z,2021-01-11T23:12:05Z
13,2021-01-03T07:17:32Z,2021-01-09T18:58:14Z,13,2021-01-02T05:37:09Z,2021-01-04T12:14:04Z
14,2021-01-03T11:40:06Z,2021-01-20T14:05:09Z,14,2021-01-02T02:17:02Z,2021-01-03T05:46:09Z
15,2021-01-03T18:35:01Z,2021-01-10T13:42:15Z,15,2021-01-01T22:07:07Z,2021-01-01T22:07:07Z
16,2021-01-03T07:32:23Z,2021-01-19T07:10:44Z,16,2020-12-31T13:41:25Z,2020-12-31T13:41:25Z
