,DEPOSIT,RETRIEVAL,ID,ORDER_DEPOSIT,ORDER_RETRIEVAL
1,2021-01-01T07:25:48Z,2021-01-12T08:22:43Z,1,2020-12-31T21:37:23Z,2021-01-02T09:10:05Z
2,2021-01-01T11:52:44Z,2021-01-20T18:30:48Z,2,2020-12-30T08:06:20Z,2021-01-12T19:13:28Z
3,2021-01-01T18:06:48Z,2021-01-07T11:35:21Z,3,2020-12-31T17:37:28Z,2020-12-31T17:37:28Z
4,2021-01-01T18:54:34Z,2021-01-15T08:16:41Z,4,2020-12-30T05:16:07Z,2021-01-03T09:57:27Z
5,2021-01-01T17:49:29Z,2021-01-08T16:55:42Z,5,2020-12-30T08:57:51Z,2020-12-30T18:07:50Z
6,2021-01-01T10:20:08Z,2021-01-15T07:21:57Z,6,2020-12-29T18:38:10Z,2021-01-13T19:11:17Z
7,2021-01-01T14:06:14Z,2021-01-14T13:18:07Z,7,2020-12-30T12:33:34Z,2021-01-01T09:18:32Z
8,2021-01-01T18:50:51Z,2021-01-04T13:42:04Z,8,2020-12-30T03:52:48Z,2020-12-30T03:52:48Z
9,2021-01-01T22:33:34Z,2021-01-05T13:01:21Z,9,2020-12-31T05:29:10Z,2020-12-31T05:29:10Z
10,2021-01-01T06:53:13Z,2021-01-08T06:24:16Z,10,2020-12-29T23:51:51Z,2020-12-29T23:51:51Z
11,2021-01-01T22:52:07Z,2021-01-07T18:56:53Z,11,2020-12-30T23:31:53Z,2020-12-30T23:31:53Z
12,2021-01-01T17:22:54Z,2021-01-08T06:13:19Z,12,2020-12-31T00:36:19Z,2021-01-01T14:15:46Z
13,2021-01-01T17:48:53Z,2021-01-08T17:45:55Z,13,2020-12-31T09:30:21Z,2020-12-31T09:30:21Z
14,2021-01-01T19:43:26Z,2021-01-20T16:01:19Z,14,2020-12-30T01:11:00Z,2021-01-05T08:37:29Z
15,2021-01-01T09:37:02Z,2021-01-06T15:40:48Z,15,2020-12-29T16:48:16Z,2020-12-29T16:48:16Z
16,2021-01-01T17:13:19Z,2021-01-02T08:03:10Z,16,2020-12-29T08:28:23Z,2020-12-29T08:28:23Z
17,2021-01-01T17:54:11Z,2021-01-19T12:12:07Z,17,2020-12-31T04:12:20Z,2021-01-13T19:58:44Z
18,2021-01-01T16:17:13Z,2021-01-05T07:51:56Z,18,2020-12-31T12:50:49Z,2020-12-31T12:50:49Z
19,2021-01-01T05:59:22Z,2021-01-15T06:07:17Z,19,2020-12-31T10:17:39Z,2021-01-10T17:23:07Z
20,2021-01-01T11:54:49Z,2021-01-27T06:11:08Z,20,2020-12-29T20:23:46Z,2021-01-09T16:02:19Z
21,2021-01-03T07:07:22Z,2021-01-11T13:35:24Z,21,2021-01-01T13:29:20Z,2021-01-01T13:29:20Z
22,2021-01-03T17:38:31Z,2021-01-11T16:25:41Z,22,2020-12-31T23:32:53Z,2021-01-07T11:41:25Z
23,2021-01-03T07:59:46Z,2021-01-13T16:25:48Z,23,2021-01-01T19:29:14Z,2021-01-01T19:29:14Z
24,2021-01-03T07:27:25Z,2021-01-17T12:01:42Z,24,2021-01-01T20:13:07Z,2021-01-01T20:13:07Z
25,2021-01-03T08:16:05Z,2021-01-06T06:31:10Z,25,2021-01-01T07:26:24Z,2021-01-01T23:27:09Z
26,2021-01-03T08:00:23Z,2021-01-17T14:08:40Z,26,2020-12-31T02:07:14Z,2020-12-31T02:07:14Z
27,2021-01-03T17:51:06Z,2021-02-02T08:47:41Z,27,2021-01-01T19:55:14Z,2021-01-15T04:13:18Z
28,2021-01-03T00:09:06Z,2021-01-06T06:56:56Z,28,2021-01-01T23:53:38Z,2021-01-01T23:53:38Z
29,2021-01-03T17:01:58Z,2021-01-04T16:44:52Z,29,2021-01-01T19:02:08Z,2021-01-01T19:02:08Z
30,2021-01-03T08:33:36Z,2021-01-25T05:10:43Z,30,2021-01-01T05:15:03Z,2021-01-18T14:40:36Z
