,DEPOSIT,RETRIEVAL,ID,ORDER_DEPOSIT,ORDER_RETRIEVAL
1,2021-01-01T15:09:55Z,2021-01-21T14:05:38Z,1,2021-01-01T09:01:55Z,2021-01-13T20:05:23Z
2,2021-01-01T17:02:33Z,2021-01-23T19:26:04Z,2,2020-12-31T01:09:52Z,2021-01-01T07:13:45Z
3,2021-01-01T07:56:08Z,2021-01-11T21:36:32Z,3,2020-12-31T02:48:29Z,2020-12-31T02:48:29Z
4,2021-01-01T07:10:43Z,2021-01-17T05:07:54Z,4,2020-12-30T16:09:37Z,2021-01-04T20:34:37Z
5,2021-01-01T17:30:05Z,2021-01-17T16:12:58Z,5,2020-12-30T11:17:23Z,2020-12-30T11:17:23Z
6,2021-01-01T19:39:59Z,2021-01-06T21:46:33Z,6,2020-12-31T04:24:43Z,2020-12-31T04:24:43Z
7,2021-01-01T08:51:14Z,2021-01-19T18:58:01Z,7,2020-12-30T02:51:36Z,2021-01-18T15:22:35Z
8,2021-01-01T15:58:42Z,2021-01-11T05:15:15Z,8,2021-01-01T15:58:42Z,2021-01-01T15:58:42Z
9,2021-01-01T05:34:17Z,2021-01-14T08:46:36Z,9,2020-12-28T14:59:30Z,2020-12-28T14:59:30Z
10,2021-01-01T19:25:06Z,2021-01-09T16:05:41Z,10,2020-12-31T16:23:19Z,2021-01-01T04:41:46Z
11,2021-01-01T07:46:51Z,2021-01-16T09:30:53Z,11,2020-12-30T09:46:31Z,2021-01-16T09:30:53Z
12,2021-01-01T18:21:46Z,2021-01-07T16:12:31Z,12,2020-12-29T23:59:59Z,2021-01-01T15:16:08Z
13,2021-01-01T18:29:33Z,2021-01-09T14:58:29Z,13,2020-12-30T22:05:26Z,2020-12-30T22:05:26Z
14,2021-01-01T15:47:52Z,2021-01-14T13:13:04Z,14,2020-12-31T21:09:25Z,2020-12-31T21:09:25Z
15,2021-01-01T15:19:04Z,2021-01-04T14:27:07Z,15,2020-12-28T20:12:45Z,2020-12-28T20:12:45Z
