,DEPOSIT,RETRIEVAL,ID,ORDER_DEPOSIT,ORDER_RETRIEVAL
1,2021-01-01T06:00:19Z,2021-01-06T14:23:16Z,1,2020-12-31T00:42:16Z,2021-01-06T14:23:16Z
2,2021-01-01T11:08:48Z,2021-01-10T07:52:44Z,2,2020-12-30T12:57:49Z,2020-12-30T12:57:49Z
3,2021-01-01T06:50:26Z,2021-01-31T18:25:01Z,3,2020-12-29T16:00:54Z,2021-01-09T23:02:56Z
4,2021-01-01T20:03:58Z,2021-01-17T16:58:40Z,4,2020-12-28T14:39:30Z,2020-12-28T14:39:30Z
5,2021-01-01T08:44:42Z,2021-01-22T04:51:16Z,5,2020-12-31T15:15:49Z,2021-01-12T12:07:01Z
6,2021-01-01T06:06:49Z,2021-01-24T09:22:50Z,6,2020-12-31T01:35:46Z,2021-01-13T03:14:17Z
7,2021-01-01T17:30:49Z,2021-01-25T14:16:18Z,7,2020-12-30T11:51:15Z,2021-01-21T12:15:54Z
8,2021-01-01T18:17:04Z,2021-01-03T16:10:05Z,8,2020-12-31T08:30:01Z,2020-12-31T08:30:01Z
9,2021-01-03T18:22:45Z,2021-01-17T14:50:21Z,9,2021-01-02T14:47:59Z,2021-01-02T23:58:40Z
10,2021-01-03T06:52:27Z,2021-01-22T16:25:44Z,10,2021-01-02T08:06:29Z,2021-01-13T10:12:29Z
11,2021-01-03T18:58:57Z,2021-01-11T06:45:23Z,11,2021-01-02T07:54:26Z,2021-01-03T06:29:38Z
12,2021-01-03T09:11:20Z,2021-01-03T23:11:17Z,12,2021-01-01T16:08:57Z,2021-01-01T16:08:57Z
13,2021-01-03T06:58:11Z,2021-01-14T21:09:25Z,13,2021-01-01T01:43:04Z,2021-01-02T20:13:07Z
14,2021-01-03T19:26:06Z,2021-01-29T12:33:59Z,14,2021-01-01T21:45:03Z,2021-01-15T01:27:08Z
15,2021-01-03T14:22:32Z,2021-01-13T13:56:11Z,15,2021-01-01T09:54:29Z,2021-01-02T09:16:57Z
16,2021-01-03T17:05:09Z,2021-01-05T14:29:31Z,16,2021-01-02T02:56:16Z,2021-01-02T02:56:16Z
17,2021-01-03T04:06:30Z,2021-01-10T06:56:58Z,17,2021-01-01T04:13:05Z,2021-01-01T04:13:05Z
18,2021-01-03T10:39:48Z,2021-01-05T06:52:34Z,18,2021-01-01T04:01:04Z,2021-01-01T04:01:04Z
19,2021-01-03T06:10:19Z,2021-01-10T15:49:31Z,19,2021-01-01T07:57:25Z,2021-01-01T07:57:25Z
20,2021-01-03T11:13:55Z,2021-01-04T13:59:10Z,20,2021-01-03T11:13:55Z,2021-01-03T11:13:55Z
21,2021-01-03T09:57:31Z,2021-01-08T07:05:59Z,21,2021-01-01T14:50:09Z,2021-01-01T14:50:09Z
22,2021-01-03T08:08:26Z,2021-01-09T12:31:02Z,22,2021-01-01T19:26:44Z,2021-01-03T12:30:16Z
23,2021-01-03T05:39:14Z,2021-01-13T00:23:08Z,23,2020-12-31T17:48:14Z,2020-12-31T17:48:14Z
24,2021-01-03T08:11:55Z,2021-01-11T08:00:34Z,24,2021-01-01T02:47:42Z,2021-01-01T02:47:42Z
25,2021-01-03T14:42:24Z,2021-01-14T18:14:40Z,25,2021-01-02T02:00:23Z,2021-01-07T05:23:38Z
