,DEPOSIT,RETRIEVAL,ID,ORDER_DEPOSIT,ORDER_RETRIEVAL
1,2021-01-01T08:41:54Z,2021-01-14T06:14:12Z,1,2020-12-28T06:33:51Z,2021-01-01T14:48:13Z
2,2021-01-01T06:30:16Z,2021-01-05T23:26:46Z,2,2020-12-31T09:44:23Z,2020-12-31T09:44:23Z
3,2021-01-01T07:37:04Z,2021-01-19T06:00:06Z,3,2020-12-31T09:42:33Z,2021-01-04T17:17:48Z
4,2021-01-01T14:12:56Z,2021-01-25T20:49:50Z,4,2020-12-31T11:12:43Z,2021-01-06T09:28:24Z
5,2021-01-01T05:48:24Z,2021-01-26T06:13:54Z,5,2020-12-30T11:11:00Z,2021-01-22T14:57:28Z
6,2021-01-01T08:23:13Z,2021-01-10T06:21:28Z,6,2020-12-29T16:33:34Z,2020-12-30T01:10:16Z
7,2021-01-01T14:39:24Z,2021-01-03T16:10:07Z,7,2020-12-31T11:10:39Z,2020-12-31T11:10:39Z
8,2021-01-01T10:50:05Z,2021-01-13T15:22:08Z,8,2020-12-27T17:04:40Z,2020-12-28T19:22:06Z
9,2021-01-01T08:30:30Z,2021-01-01T22:52:18Z,9,2021-01-01T08:30:30Z,2021-01-01T08:30:30Z
10,2021-01-01T16:09:07Z,2021-01-18T08:56:30Z,10,2020-12-30T21:45:40Z,2020-12-30T21:45:40Z
11,2021-01-01T08:36:47Z,2021-01-17T11:15:17Z,11,2020-12-29T03:41:01Z,2021-01-03T15:16:33Z
12,2021-01-01T14:25:53Z,2021-01-13T04:53:30Z,12,2020-12-30T16:58:31Z,2021-01-02T18:41:47Z
13,2021-01-01T19:14:38Z,2021-01-11T12:27:11Z,13,2020-12-29T01:09:26Z,2020-12-29T01:09:26Z
14,2021-01-01T16:03:45Z,2021-01-03T05:49:29Z,14,2020-12-29T22:13:12Z,2020-12-30T13:37:35Z
15,2021-01-01T11:27:42Z,2021-01-10T05:55:43Z,15,2020-12-30T21:01:17Z,2020-12-31T14:43:46Z
16,2021-01-01T17:27:01Z,2021-01-28T12:14:26Z,16,2020-12-29T08:32:09Z,2021-01-09T12:13:39Z
17,2021-01-01T07:33:00Z,2021-01-20T14:24:48Z,17,2020-12-29T10:38:45Z,2021-01-01T10:11:06Z
18,2021-01-01T08:02:35Z,2021-01-03T15:31:13Z,18,2020-12-31T18:36:17Z,2020-12-31T18:36:17Z
19,2021-01-01T19:06:09Z,2021-01-10T21:11:03Z,19,2020-12-30T16:56:13Z,2020-12-30T16:56:13Z
20,2021-01-01T05:27:28Z,2021-01-19T07:01:55Z,20,2021-01-01T05:27:28Z,2021-01-01T05:27:28Z
21,2021-01-01T18:16:32Z,2021-01-15T06:09:31Z,21,2020-12-29T22:54:35Z,2021-01-12T01:07:20Z
22,2021-01-01T18:36:57Z,2021-01-10T15:02:53Z,22,2021-01-01T07:29:18Z,2021-01-04T10:57:12Z
23,2021-01-01T00:32:49Z,2021-01-11T22:53:20Z,23,2020-12-29T12:27:54Z,2020-12-29T12:27:54Z
