,DEPOSIT,RETRIEVAL,ID,ORDER_DEPOSIT,ORDER_RETRIEVAL
1,2021-01-01T16:06:22Z,2021-01-15T06:52:24Z,1,2020-12-31T05:29:40Z,2021-01-04T01:40:24Z
2,2021-01-01T06:29:35Z,2021-01-14T14:27:14Z,2,2020-12-30T12:58:42Z,2020-12-31T17:33:33Z
3,2021-01-01T07:58:16Z,2021-01-16T15:39:43Z,3,2020-12-29T09:11:21Z,2021-01-09T03:06:57Z
4,2021-01-01T07:45:54Z,2021-01-11T14:45:30Z,4,2020-12-31T02:15:27Z,2020-12-31T02:15:27Z
5,2021-01-01T11:42:29Z,2021-01-17T16:33:18Z,5,2020-12-30T14:06:20Z,2021-01-03T03:13:41Z
6,2021-01-01T04:26:58Z,2021-01-04T07:25:50Z,6,2020-12-31T01:16:27Z,2020-12-31T01:16:27Z
7,2021-01-01T11:36:52Z,2021-01-04T12:23:13Z,7,2020-12-31T19:26:16Z,2020-12-31T19:26:16Z
8,2021-01-01T16:16:17Z,2021-01-24T12:51:55Z,8,2020-12-30T12:11:31Z,2021-01-16T16:03:11Z
9,2021-01-01T18:06:51Z,2021-01-05T15:10:50Z,9,2020-12-30T20:25:01Z,2020-12-30T20:25:01Z
10,2021-01-01T12:59:26Z,2021-01-08T05:50:40Z,10,2020-12-29T05:12:28Z,2021-01-04T13:17:37Z
11,2021-01-01T17:46:20Z,2021-01-06T13:50:55Z,11,2020-12-28T10:13:01Z,2021-01-03T22:29:40Z
12,2021-01-01T17:02:54Z,2021-01-10T13:25:51Z,12,2021-01-01T11:28:02Z,2021-01-02T14:41:50Z
13,2021-01-01T16:23:50Z,2021-01-07T22:09:31Z,13,2021-01-01T00:54:41Z,2021-01-02T22:11:40Z
14,2021-01-01T04:01:36Z,2021-01-13T22:31:26Z,14,2020-12-29T02:35:54Z,2021-01-02T15:33:57Z
15,2021-01-01T22:28:38Z,2021-01-26T13:32:02Z,15,2021-01-01T08:20:38Z,2021-01-16T22:00:49Z
16,2021-01-01T07:19:01Z,2021-01-26T21:34:13Z,16,2020-12-30T01:22:30Z,2021-01-15T15:47:38Z
17,2021-01-01T04:01:24Z,2021-01-02T22:21:56Z,17,2020-12-28T23:50:02Z,2020-12-28T23:50:02Z
18,2021-01-03T11:26:47Z,2021-01-28T06:10:03Z,18,2020-12-30T21:45:06Z,2021-01-13T21:36:42Z
19,2021-01-03T06:27:43Z,2021-01-09T11:12:31Z,19,2021-01-01T19:18:33Z,2021-01-03T11:01:04Z
20,2021-01-03T13:52:09Z,2021-01-10T17:10:36Z,20,2021-01-02T15:28:52Z,2021-01-02T15:28:52Z
21,2021-01-03T06:36:17Z,2021-01-09T16:17:47Z,21,2020-12-31T06:17:58Z,2020-12-31T06:17:58Z
22,2021-01-03T08:33:01Z,2021-01-23T21:39:38Z,22,2021-01-01T08:06:29Z,2021-01-18T09:41:55Z
23,2021-01-03T20:59:16Z,2021-01-23T12:39:16Z,23,2021-01-02T02:38:48Z,2021-01-04T13:55:26Z
24,2021-01-03T05:06:16Z,2021-01-03T16:42:20Z,24,2021-01-01T21:29:08Z,2021-01-01T21:29:08Z
25,2021-01-03T17:37:35Z,2021-01-03T18:43:01Z,25,2020-12-30T23:10:58Z,2020-12-30T23:10:58Z
26,2021-01-03T08:04:36Z,2021-01-04T13:48:39Z,26,2021-01-02T07:18:10Z,2021-01-02T07:18:10Z
27,2021-01-03T18:24:38Z,2021-01-07T04:23:07Z,27,2021-01-01T01:58:22Z,2021-01-01T01:58:22Z
28,2021-01-03T06:24:53Z,2021-01-17T12:09:04Z,28,2021-01-02T01:55:15Z,2021-01-08T10:00:00Z
29,2021-01-03T09:18:57Z,2021-01-22T04:34:41Z,29,2021-01-02T08:06:08Z,2021-01-08T21:11:23Z
30,2021-01-03T07:04:14Z,2021-01-18T14:44:22Z,30,2021-01-01T14:19:34Z,2021-01-11T20:23:28Z
31,2021-01-03T09:11:00Z,2021-01-11T21:41:03Z,31,2020-12-31T10:17:02Z,2020-12-31T10:17:02Z
32,2021-01-03T20:10:59Z,2021-01-12T12:10:19Z,32,2020-12-31T17:12:09Z,2020-12-31T17:12:09Z
33,2021-01-03T17:57:29Z,2021-01-14T06:01:31Z,33,2021-01-01T02:32:53Z,2021-01-01T02:32:53Z
34,2021-01-03T10:06:10Z,2021-01-05T15:42:57Z,34,2021-01-02T01:48:23Z,2021-01-02T01:48:23Z
35,2021-01-03T07:22:42Z,2021-01-07T06:12:07Z,35,2020-12-30T16:58:35Z,2020-12-30T16:58:35Z
